52364E1A,Ch.1[C],Ch.2[%]
2020-06-04 10:41:34,23.4,66
2020-06-04 10:42:34,23.4,66
2020-06-04 10:43:34,23.4,66
2020-06-04 10:44:34,23.4,66
2020-06-04 10:45:34,23.5,66
2020-06-04 10:46:34,23.5,66
2020-06-04 10:47:34,23.6,66
2020-06-04 10:48:34,23.6,66
2020-06-04 10:49:34,23.7,65
2020-06-04 10:50:34,23.7,65
2020-06-04 10:51:34,23.7,65
2020-06-04 10:52:34,23.8,66
2020-06-04 10:53:34,23.8,66
2020-06-04 10:54:34,23.8,66
2020-06-04 10:55:34,23.9,66
2020-06-04 10:56:34,23.9,66
2020-06-04 10:57:34,23.9,66
2020-06-04 10:58:34,23.8,66
2020-06-04 10:59:34,23.7,66
2020-06-04 11:00:34,23.7,66
2020-06-04 11:01:34,23.7,66
2020-06-04 11:02:34,23.6,66
2020-06-04 11:03:34,23.6,66
2020-06-04 11:04:34,23.6,66
2020-06-04 11:05:34,23.6,66
2020-06-04 11:06:34,23.6,66
2020-06-04 11:07:34,23.6,66
2020-06-04 11:08:34,23.5,66
2020-06-04 11:09:34,23.5,66
2020-06-04 11:10:34,23.5,65
2020-06-04 11:11:34,23.5,66
2020-06-04 11:12:34,23.5,66
2020-06-04 11:13:34,23.6,67
2020-06-04 11:14:34,23.6,67
2020-06-04 11:15:34,23.6,67
2020-06-04 11:16:34,23.6,67
2020-06-04 11:17:34,23.5,67
2020-06-04 11:18:34,23.6,67
2020-06-04 11:19:34,23.6,67
2020-06-04 11:20:34,23.5,67
2020-06-04 11:21:34,23.5,67
2020-06-04 11:22:34,23.5,67
2020-06-04 11:23:34,23.5,67
2020-06-04 11:24:34,23.6,66
2020-06-04 11:25:34,23.5,66
2020-06-04 11:26:34,23.6,66
2020-06-04 11:27:34,23.6,66
2020-06-04 11:28:34,23.6,66
2020-06-04 11:29:34,23.6,66
2020-06-04 11:30:34,23.6,66
2020-06-04 11:31:34,23.6,66
2020-06-04 11:32:34,23.6,66
2020-06-04 11:33:34,23.6,66
2020-06-04 11:34:34,23.6,66
2020-06-04 11:35:34,23.5,66
2020-06-04 11:36:34,23.5,66
2020-06-04 11:37:34,23.5,66
2020-06-04 11:38:34,23.5,66
2020-06-04 11:39:34,23.5,66
2020-06-04 11:40:34,23.5,66
2020-06-04 11:41:34,23.5,66
2020-06-04 11:42:34,23.5,66
2020-06-04 11:43:34,23.5,66
2020-06-04 11:44:34,23.5,66
2020-06-04 11:45:34,23.5,66
2020-06-04 11:46:34,23.5,66
2020-06-04 11:47:34,23.4,66
2020-06-04 11:48:34,23.5,66
2020-06-04 11:49:34,23.5,66
2020-06-04 11:50:34,23.5,66
2020-06-04 11:51:34,23.5,66
2020-06-04 11:52:34,23.4,66
2020-06-04 11:53:34,23.4,66
2020-06-04 11:54:34,23.4,66
2020-06-04 11:55:34,23.4,66
2020-06-04 11:56:34,23.4,66
2020-06-04 11:57:34,23.4,66
2020-06-04 11:58:34,23.4,66
2020-06-04 11:59:34,23.4,66
2020-06-04 12:00:34,23.5,66
2020-06-04 12:01:34,23.5,66
2020-06-04 12:02:34,23.5,66
2020-06-04 12:03:34,23.5,66
2020-06-04 12:04:34,23.4,66
2020-06-04 12:05:34,23.4,66
2020-06-04 12:06:34,23.4,66
2020-06-04 12:07:34,23.4,66
2020-06-04 12:08:34,23.4,66
